Name,Time,Cumulative PnL
VWAP8,2019-Sep-13 19:22:18.588228,-75754.606103
VWAP8,2019-Sep-13 19:23:19.471021,-75838.783585
VWAP8,2019-Sep-13 19:24:22.524890,-76204.685153
VWAP8,2019-Sep-13 19:25:23.582755,-76221.505886
VWAP8,2019-Sep-13 19:26:25.405581,-76515.984453
VWAP8,2019-Sep-13 19:27:26.640445,-76694.955356
VWAP8,2019-Sep-13 19:28:27.122074,-77014.154437
VWAP8,2019-Sep-13 19:29:29.955856,-77194.918784
VWAP8,2019-Sep-13 19:30:32.050565,-77277.640686
VWAP8,2019-Sep-13 19:31:33.244314,-77452.368888
VWAP8,2019-Sep-13 19:32:33.777562,-77582.374240
VWAP8,2019-Sep-13 19:33:34.645372,-77696.418175
VWAP8,2019-Sep-13 19:34:37.581391,-77897.274805
VWAP8,2019-Sep-13 19:35:38.708792,-78251.415277
VWAP8,2019-Sep-13 19:36:40.780660,-78650.065540
VWAP8,2019-Sep-13 19:37:44.626504,-79088.675611
VWAP8,2019-Sep-13 19:38:45.353139,-79215.531256
VWAP8,2019-Sep-13 19:39:46.164840,-79235.560982
VWAP8,2019-Sep-13 19:40:46.711756,-79420.882844
VWAP8,2019-Sep-13 19:41:48.955450,-79580.562505
VWAP8,2019-Sep-13 19:42:50.885391,-79812.649251
VWAP8,2019-Sep-13 19:43:53.339248,-79944.898885
VWAP8,2019-Sep-13 19:44:54.916387,-80000.519999
VWAP8,2019-Sep-13 19:45:56.242102,-80141.775808
VWAP8,2019-Sep-13 19:46:57.126508,-80710.913570
VWAP8,2019-Sep-13 19:47:57.940631,-81397.676806
VWAP8,2019-Sep-13 19:49:00.514820,-82083.374833
VWAP8,2019-Sep-13 19:50:01.528843,-82511.714097
VWAP8,2019-Sep-13 19:51:02.164008,-83011.766918
VWAP8,2019-Sep-13 19:52:02.684261,-83820.378230
VWAP8,2019-Sep-13 19:53:05.888515,-84226.098805
VWAP8,2019-Sep-13 19:54:06.410232,-84480.124272
VWAP8,2019-Sep-13 19:55:06.667539,-85084.998409
VWAP8,2019-Sep-13 19:56:08.063802,-85321.257860
VWAP8,2019-Sep-13 19:57:09.557565,-85600.331029
VWAP8,2019-Sep-13 19:58:10.543973,-85890.393886
VWAP8,2019-Sep-13 19:59:11.256736,-86429.214170
VWAP8,2019-Sep-14 04:00:00,-87694.433443
